Fecha,Temp_Max,Temp_Min,Temp_Prom,Humedad_Max,Humedad_Min,Humedad_Prom,Lluvia,Presion,Viento_Max,Año,Decada
1994-06-20,27.8,21.6,24.23,99,74,90.54,13.7,1006.85,6.6,1994,1990
1994-06-21,27.8,21.8,24.31,99,75,90.33,8.6,1007.03,5.7,1994,1990
1994-06-22,28.2,21.8,24.28,99,71,89.46,14.0,1006.98,11.2,1994,1990
1994-06-23,28.5,21.3,24.5,99,72,89.04,6.8,1005.92,6.5,1994,1990
1994-06-24,27.3,21.9,24.34,98,77,89.12,9.3,1005.7,6.2,1994,1990
1994-06-25,28.3,21.7,24.39,96,71,88.71,12.5,1005.72,4.7,1994,1990
1994-06-26,28.9,21.6,24.47,96,70,87.83,10.4,1005.59,6.4,1994,1990
1994-06-27,27.8,22.0,24.7,96,73,87.71,11.2,1005.8,7.2,1994,1990
1994-06-28,28.0,21.9,24.59,97,73,88.17,15.5,1006.0,6.5,1994,1990
1994-06-29,26.7,22.4,24.3,99,80,91.38,9.1,1006.33,6.8,1994,1990
1994-06-30,29.3,21.4,24.68,96,66,85.12,13.5,1006.08,6.9,1994,1990
1994-07-01,28.3,21.6,24.8,94,70,85.42,9.7,1005.45,7.6,1994,1990
1994-07-02,27.2,21.9,24.21,99,81,91.58,19.3,1004.98,4.8,1994,1990
1994-07-03,27.8,21.4,23.68,99,75,92.96,34.6,1006.21,10.9,1994,1990
1994-07-04,27.2,21.7,23.76,99,78,93.0,11.1,1007.14,5.4,1994,1990
1994-07-05,27.6,22.2,24.17,96,73,89.33,19.7,1007.34,7.3,1994,1990
1994-07-06,27.6,20.8,24.05,97,80,89.54,12.9,1006.18,6.6,1994,1990
1994-07-07,27.9,21.8,24.31,96,77,89.58,8.2,1004.66,7.2,1994,1990
1994-07-08,28.5,21.6,24.43,96,72,88.12,7.5,1004.81,7.2,1994,1990
1994-07-09,28.8,21.8,24.86,96,72,86.79,7.7,1005.12,6.1,1994,1990
1994-07-10,29.7,22.3,25.92,98,70,85.67,11.3,1005.04,4.7,1994,1990
1994-07-11,30.0,21.8,25.55,98,65,85.33,7.6,1005.08,6.6,1994,1990
1994-07-12,28.7,22.3,25.1,98,75,88.25,16.5,1005.71,6.3,1994,1990
1994-07-13,27.7,22.0,24.9,98,80,89.29,8.5,1005.4,5.8,1994,1990
1994-07-14,29.0,22.8,25.63,94,70,85.04,6.8,1005.05,5.8,1994,1990
1994-07-15,28.3,22.2,25.08,96,74,86.54,10.7,1004.68,6.4,1994,1990
1994-07-16,29.3,22.9,24.84,96,66,87.79,9.3,1005.45,7.6,1994,1990
1994-07-17,28.2,22.0,24.75,98,73,87.54,5.9,1006.36,6.2,1994,1990
1994-07-18,27.9,21.7,24.52,98,73,87.88,12.2,1006.35,7.1,1994,1990
1994-07-19,27.7,22.0,24.43,98,78,89.46,6.1,1006.22,5.7,1994,1990
1994-07-20,28.2,22.3,24.76,95,72,86.88,8.2,1006.61,7.7,1994,1990
1994-07-21,28.5,22.6,24.89,96,70,87.04,8.7,1006.55,6.6,1994,1990
1994-07-22,28.4,21.7,24.53,95,71,87.62,12.9,1006.32,5.4,1994,1990
